coach_name,Country,Discipline
TAKITA Risako,Japan,Artistic Swimming
MARTIN LOZANO David,Spain,Water Polo
CARO Carlos,Mexico,Baseball/Softball
MARTIN Paul,South Africa,Water Polo
MENTOOR Delaine,South Africa,Water Polo
DUENAS de GALARZA Jorge,Brazil,Handball
SMITH Mark,Canada,Baseball/Softball
BRUN Aristide,Austria,Artistic Swimming
KRIKORIAN Adam,United States of America,Water Polo
JEROME Essapa,C�te d'Ivoire,Football
RETEGUI Carlos Jose,Argentina,Hockey
SHAHINTAB Mehran,Islamic Republic of Iran,Basketball
BILLAVA SURESH Ankitha,India,Hockey
VASQUEZ Diego,Venezuela,Basketball
SZAUDER Gabor,Canada,Artistic Swimming
GRYZUNOVA Elena,ROC,Artistic Swimming
GONZALEZ Anibal,Mexico,Football
KULESZA Katarzyna,Canada,Artistic Swimming
GUERRERO LOPEZ Julen,Spain,Football
BASILIO Mel,Canada,Baseball/Softball
YURKIN Sergey,ROC,Volleyball
MENGUAL CIVIL Gemma,Spain,Artistic Swimming
JAUMA CAYUELA Esther,Netherlands,Artistic Swimming
MATSUODANI Yasushi,Japan,Football
BIRO Attila,Hungary,Water Polo
SOYEZ Frederic,Spain,Hockey
FISH Nathan,Israel,Baseball/Softball
KUNTZ Stefan,Germany,Football
MARIJNE Sjoerd,India,Hockey
STAS Jacques,Belgium,Basketball
MARINELLI Fernando,Chile,Football
MERCEDES del ROSARIO Jose,Dominican Republic,Basketball
ZAITSEVA Olesia,Ukraine,Artistic Swimming
PRIESTMAN Bev,Canada,Football
WEINSTEIN Jerry,United States of America,Baseball/Softball
MAHLANGU Sibusiso,South Africa,Football
BREIVIK Marit,Norway,Handball
DAVY Jeremy,Australia,Hockey
AIKMAN Siegfried Gottlieb,Japan,Hockey
POWELL Katrina,Australia,Hockey
BYRNE Mick,Canada,Rugby Sevens
GRESKOWIAK Arne,Germany,Basketball
XU Limin,People's Republic of China,Basketball
DORE Karine,Canada,Artistic Swimming
FUENTES Andrea,United States of America,Artistic Swimming
LOFTUS Adriana,Mexico,Artistic Swimming
McCRORIE Christy,South Africa,Hockey
MONDELO GARCIA Lucas,Spain,Basketball
VEGA HERRERO Anna,Spain,Artistic Swimming
MENDEZ Marcelo Rodolfo,Argentina,Volleyball
NEVES Christophe,C�te d'Ivoire,Football
WANG Jie,People's Republic of China,Artistic Swimming
ALLER CARBALLO Manuel Angel,Spain,Basketball
BARYLA Pawel,ROC,Volleyball
CALDAS Max,Netherlands,Hockey
CHOI Il Eon,Republic of Korea,Baseball/Softball
de la FUENTE CASTILLO Luis,Spain,Football
WIEGMAN Sarina,Netherlands,Football
JONES Chris,Canada,Baseball/Softball
MESTDAGH Philip,Belgium,Basketball
GUSTAVSSON Tony,Australia,Football
KIRKPATRICK Andrew,Australia,Baseball/Softball
FALERO Miguel,Honduras,Football
GERHARDSSON Peter,Sweden,Football
REQUENA PERICAS Judit,Spain,Artistic Swimming
STALEY Dawn,United States of America,Basketball
HERGEIRSSON Thorir,Norway,Handball
HIROSE Norikazu,Japan,Football
GUILLEN Ronald,Venezuela,Basketball
PECCI Isabella,San Marino,Artistic Swimming
COMMENS Adam,Belgium,Hockey
EWING Gareth,South Africa,Hockey
FABRE Julie,France,Artistic Swimming
THOMAIDIS Lisa,Canada,Basketball
EITOKU Atsushi,Japan,Artistic Swimming
HARVEY Laura,United States of America,Football
BENCIC Filip,Serbia,Basketball
POPOVICH Gregg,United States of America,Basketball
SVETLICHNAYA Aliona,Belarus,Artistic Swimming
BROWN Chris,United States of America,Rugby Sevens
JIA Xiuquan,People's Republic of China,Football
TILLIE Laurent,France,Volleyball
ALEKSEEV Alexey,ROC,Handball
DOBSON Howard,United States of America,Baseball/Softball
PEDRERO Ofelia,Mexico,Artistic Swimming
REID Graham John,India,Hockey
NAKAGAICHI Yuichi,Japan,Volleyball
GOORJIAN Brian,Australia,Basketball
JENNINGS Dee,Australia,Hockey
MEDINA Bobby,Nigeria,Basketball
MWAPE Bruce,Zambia,Football
ELEK Gabor,Hungary,Handball
WOELFLIN Roberto Osvaldo,Argentina,Volleyball
FERRARO Hernan,Argentina,Volleyball
GUERRERO Rolando,Mexico,Baseball/Softball
ABE Katsuhiko,Japan,Basketball
ZAMPIERI Francesca,Liechtenstein,Artistic Swimming
AMAYA GAITAN Fabian,Puerto Rico,Basketball
GARNIER Valerie,France,Basketball
ARNOLD Graham,Australia,Football
FUERBRINGER Matthew,United States of America,Volleyball
HAM Darvin de,Nigeria,Basketball
JOHNSON Vickie,United States of America,Basketball
van GUNDY Jeff,United States of America,Basketball
ERIKSEN Ken,United States of America,Baseball/Softball
GAIDUKOV Aleksandr,ROC,Water Polo
PIZZOLINI Federico,Italy,Baseball/Softball
SUNDHAGE Pia Mariane,Brazil,Football
RIPOLL Sylvain,France,Football
HERNANDEZ Sergio,Argentina,Basketball
BOLTON Alice,Nigeria,Basketball
FAHMY LATIF Yasmine,Egypt,Artistic Swimming
KANEKO Makoto,Japan,Baseball/Softball
POTTER Anthony,Australia,Hockey
UTSUGI Reika,Japan,Baseball/Softball
AL SAADI Kais,Germany,Hockey
BASSO Paola,Great Britain,Artistic Swimming
MAKIRI Hare,Japan,Rugby Sevens
MARCZ Tamas,Hungary,Water Polo
SZAUDER Nora,Slovakia,Artistic Swimming
HOLANEK Zoltan,Hungary,Handball
GRAZIOSI Gianluca,Italy,Volleyball
GORDO MANSILLA Juan David,Spain,Football
RODRIGUEZ Eduardo Rafael,Argentina,Volleyball
HAIDARA Soualiho,C�te d'Ivoire,Football
HUGHES Daniel,United States of America,Basketball
KELLER Florian,Germany,Hockey
NCUBE Mthandazo,South Africa,Football
SMITH Darren,New Zealand,Hockey
TAGLE German,Chile,Football
FARINELLI Roberta,Italy,Artistic Swimming
